x, y, xFulc, yFulc 
314, 333, 270, 704
312, 334, 270, 704
312, 336, 270, 704
312, 334, 270, 704
312, 335, 270, 704
312, 334, 270, 705
312, 335, 270, 704
313, 336, 270, 704
312, 335, 270, 704
313, 336, 270, 704
313, 336, 270, 704
312, 335, 270, 705
312, 336, 269, 704
312, 335, 269, 704
312, 336, 270, 705
312, 335, 270, 705
312, 335, 270, 705
312, 336, 270, 705
312, 336, 271, 705
311, 336, 270, 705
312, 336, 271, 705
312, 334, 270, 705
312, 336, 270, 705
312, 335, 270, 705
312, 335, 271, 705
312, 336, 271, 705
312, 336, 270, 705
312, 335, 270, 705
312, 336, 270, 705
312, 335, 270, 705
312, 336, 270, 705
312, 335, 270, 705
312, 335, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 335, 270, 705
312, 336, 270, 705
312, 336, 270, 705
312, 336, 271, 705
312, 336, 270, 705
312, 335, 270, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 335, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 335, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 335, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 335, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 271, 705
312, 336, 272, 705
312, 336, 271, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 706
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 335, 272, 705
312, 335, 272, 705
312, 335, 272, 705
312, 335, 272, 705
312, 335, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 335, 272, 705
312, 335, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 271, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 705
312, 336, 272, 706
312, 336, 272, 705
312, 336, 272, 706
312, 336, 272, 705
312, 335, 272, 705
312, 336, 272, 705
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 707
312, 336, 272, 707
312, 336, 272, 707
312, 336, 272, 707
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 707
312, 336, 272, 706
312, 336, 272, 707
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 707
312, 336, 272, 706
312, 336, 272, 706
312, 336, 272, 707
312, 336, 272, 706
312, 336, 272, 707
312, 336, 272, 707
312, 336, 272, 707
312, 336, 272, 707
312, 336, 272, 707
312, 336, 272, 707
312, 336, 272, 707
312, 336, 272, 707
312, 336, 273, 707
311, 335, 272, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
311, 336, 273, 707
312, 336, 273, 707
312, 335, 273, 707
312, 336, 273, 707
312, 334, 273, 707
312, 336, 273, 707
311, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 707
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
311, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
312, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
312, 336, 273, 708
311, 336, 273, 708
312, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 274, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
311, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
309, 336, 273, 708
310, 336, 273, 708
310, 336, 273, 708
309, 336, 273, 708
310, 337, 273, 708
309, 336, 273, 708
309, 336, 273, 708
