epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51285,1.68019,3.07312,1.73781,0.00483,0.82857,0.239,0.13315,1.57756,3.09406,1.73171,0.0002,0.0002,0.0002
2,11.7365,1.4701,2.67652,1.58993,0.00517,0.88571,0.21458,0.09119,1.51254,3.0448,1.75349,0.000415842,0.000415842,0.000415842
3,16.7001,1.53065,2.31809,1.5659,0.00663,0.74286,0.21107,0.08973,1.59059,3.02696,1.86015,0.000627328,0.000627328,0.000627328
4,20.5367,1.46862,2.1046,1.48651,0.73906,0.14286,0.25594,0.10723,1.75797,2.98581,2.24996,0.000834458,0.000834458,0.000834458
5,24.3989,1.52826,2.07061,1.53938,0.00303,0.51429,0.03596,0.00881,2.99654,3.99396,3.05811,0.00103723,0.00103723,0.00103723
6,29.473,1.56465,2.07598,1.53336,0.15891,0.14286,0.13937,0.05865,2.03466,3.14912,2.2185,0.00123565,0.00123565,0.00123565
7,33.2738,1.54322,1.98478,1.54341,0.14075,0.2,0.16125,0.08365,1.67451,2.89331,2.07987,0.00142971,0.00142971,0.00142971
8,37.2159,1.47554,1.87624,1.5697,0.23061,0.2,0.18582,0.06624,2.28209,3.04598,2.71853,0.00161942,0.00161942,0.00161942
9,42.1773,1.50375,1.93456,1.55846,0.48434,0.31429,0.28533,0.09479,2.35092,3.35316,3.73551,0.00180477,0.00180477,0.00180477
10,46.1395,1.56189,1.85501,1.58,0.26725,0.22857,0.16411,0.08142,2.35909,3.31196,2.87622,0.0018218,0.0018218,0.0018218
11,50.1329,1.45077,1.71648,1.48351,0.22539,0.31429,0.16733,0.07011,2.1226,3.51292,2.94838,0.001802,0.001802,0.001802
12,55.0244,1.52949,1.79388,1.54407,0.15535,0.11429,0.04227,0.01339,3.05023,3.86558,3.78665,0.0017822,0.0017822,0.0017822
13,59.0364,1.43832,1.71679,1.53279,0.03748,0.17143,0.01825,0.00471,2.97137,4.59327,3.99624,0.0017624,0.0017624,0.0017624
14,62.7171,1.49253,1.73772,1.57852,0.24309,0.22857,0.12861,0.04234,2.78589,3.23716,2.99886,0.0017426,0.0017426,0.0017426
15,67.8174,1.55145,1.73307,1.5779,0.39393,0.28571,0.21259,0.05958,2.3577,2.96771,2.95795,0.0017228,0.0017228,0.0017228
16,71.8496,1.51286,1.66419,1.55378,0.30246,0.51429,0.38569,0.1796,1.89474,2.3397,2.29465,0.001703,0.001703,0.001703
17,75.6791,1.47232,1.61546,1.49641,0.43103,0.57143,0.49098,0.17282,1.89078,2.17357,2.12423,0.0016832,0.0016832,0.0016832
18,80.6406,1.46358,1.58941,1.53313,0.38154,0.51429,0.32402,0.14509,2.03542,2.2405,2.36907,0.0016634,0.0016634,0.0016634
19,85.0122,1.39135,1.55951,1.46521,0.42197,0.51429,0.37848,0.15265,1.83292,2.6132,2.35182,0.0016436,0.0016436,0.0016436
20,88.7532,1.42616,1.56093,1.45888,0.37174,0.32138,0.35592,0.18664,1.8348,2.53033,2.2484,0.0016238,0.0016238,0.0016238
21,93.0509,1.41047,1.51334,1.4559,0.37478,0.51429,0.40545,0.21846,1.83069,2.0457,2.15932,0.001604,0.001604,0.001604
22,97.2307,1.47786,1.57234,1.47603,0.3987,0.53059,0.48228,0.25288,1.80755,1.92473,2.03073,0.0015842,0.0015842,0.0015842
23,101.424,1.40384,1.43784,1.4562,0.61075,0.4036,0.51457,0.25511,1.75217,1.9261,2.12087,0.0015644,0.0015644,0.0015644
24,105.641,1.37629,1.43179,1.44377,0.40837,0.51429,0.33441,0.16425,1.79659,2.33559,2.09323,0.0015446,0.0015446,0.0015446
25,110.239,1.40209,1.46387,1.43593,0.41462,0.42857,0.32593,0.16304,1.67675,2.02682,1.95005,0.0015248,0.0015248,0.0015248
26,114.157,1.41515,1.48808,1.46976,0.28553,0.4,0.21183,0.10044,1.92477,2.30046,1.97835,0.001505,0.001505,0.001505
27,118.073,1.36928,1.33212,1.39603,0.28881,0.2,0.16859,0.07135,1.85732,2.59766,2.00324,0.0014852,0.0014852,0.0014852
28,122.927,1.35329,1.33874,1.40395,0.40997,0.54286,0.40949,0.20937,1.5675,2.14183,1.72357,0.0014654,0.0014654,0.0014654
29,126.629,1.27177,1.32092,1.38014,0.58315,0.47981,0.48644,0.27825,1.45612,1.90711,1.7096,0.0014456,0.0014456,0.0014456
30,130.88,1.31874,1.27329,1.37852,0.52654,0.57143,0.52897,0.31093,1.50296,1.66199,1.72884,0.0014258,0.0014258,0.0014258
31,135.945,1.33928,1.33056,1.39402,0.57248,0.57395,0.5939,0.34063,1.49716,1.61113,1.64062,0.001406,0.001406,0.001406
32,139.95,1.35496,1.33723,1.42204,0.55845,0.6,0.58778,0.34169,1.54306,1.59973,1.68632,0.0013862,0.0013862,0.0013862
33,143.761,1.3324,1.29494,1.38819,0.36009,0.4664,0.32996,0.14219,1.64547,2.15917,1.76604,0.0013664,0.0013664,0.0013664
34,148.787,1.23444,1.24848,1.34609,0.62052,0.65415,0.62471,0.33487,1.50353,1.66263,1.64109,0.0013466,0.0013466,0.0013466
35,152.908,1.22451,1.13125,1.31554,0.50206,0.45714,0.49235,0.30643,1.47676,1.67298,1.76075,0.0013268,0.0013268,0.0013268
36,156.344,1.29078,1.2213,1.37309,0.59132,0.57143,0.52071,0.28616,1.49938,1.67801,1.69573,0.001307,0.001307,0.001307
37,161.729,1.26994,1.25162,1.3782,0.7449,0.4,0.56345,0.33083,1.52157,1.61546,1.65413,0.0012872,0.0012872,0.0012872
38,165.464,1.27562,1.26287,1.36778,0.61404,0.45714,0.55161,0.29129,1.57352,1.7069,1.65814,0.0012674,0.0012674,0.0012674
39,169.726,1.19857,1.12454,1.31307,0.49694,0.51429,0.52589,0.29001,1.54323,1.66697,1.70156,0.0012476,0.0012476,0.0012476
40,174.697,1.22195,1.11547,1.31473,0.60455,0.51429,0.54278,0.32715,1.36349,1.63826,1.62738,0.0012278,0.0012278,0.0012278
41,178.647,1.22666,1.10798,1.27233,0.68988,0.48571,0.63422,0.39867,1.30023,1.64496,1.47959,0.001208,0.001208,0.001208
42,182.617,1.27484,1.1373,1.36389,0.48498,0.68571,0.58262,0.33732,1.57268,1.60376,1.76609,0.0011882,0.0011882,0.0011882
43,187.429,1.27954,1.13517,1.31052,0.56152,0.58562,0.5532,0.33868,1.41703,1.47224,1.54117,0.0011684,0.0011684,0.0011684
44,191.83,1.19156,1.09958,1.26897,0.75792,0.62857,0.7052,0.43695,1.31686,1.38262,1.48102,0.0011486,0.0011486,0.0011486
45,195.617,1.20088,1.08356,1.31981,0.68133,0.61107,0.67132,0.42623,1.34267,1.38254,1.51049,0.0011288,0.0011288,0.0011288
46,200.147,1.19566,1.13499,1.35861,0.76867,0.56969,0.67689,0.43971,1.3515,1.41089,1.52191,0.001109,0.001109,0.001109
47,204.522,1.18926,1.20279,1.33728,0.81393,0.57143,0.6768,0.44463,1.30174,1.39963,1.53454,0.0010892,0.0010892,0.0010892
48,208.46,1.16564,1.05276,1.30501,0.62203,0.65714,0.68725,0.39589,1.37266,1.45006,1.49507,0.0010694,0.0010694,0.0010694
49,212.186,1.14679,1.06667,1.24554,0.699,0.66366,0.69304,0.43057,1.3324,1.32354,1.52706,0.0010496,0.0010496,0.0010496
50,217.205,1.21154,1.10413,1.32614,0.62806,0.77143,0.68854,0.44891,1.32112,1.4006,1.44672,0.0010298,0.0010298,0.0010298
51,221.216,1.23099,1.07609,1.32707,0.67295,0.68571,0.72821,0.48067,1.27207,1.31722,1.50424,0.00101,0.00101,0.00101
52,225.04,1.165,1.03268,1.28585,0.6936,0.65714,0.7367,0.48196,1.30819,1.27063,1.4823,0.0009902,0.0009902,0.0009902
53,230.318,1.12355,0.9887,1.25787,0.80488,0.71429,0.78616,0.50672,1.29232,1.25941,1.46818,0.0009704,0.0009704,0.0009704
54,234.07,1.20835,1.02901,1.29089,0.82997,0.69759,0.7601,0.43457,1.32169,1.37077,1.48636,0.0009506,0.0009506,0.0009506
55,237.941,1.12004,1.02765,1.2549,0.77148,0.67542,0.76108,0.42989,1.34797,1.38303,1.4313,0.0009308,0.0009308,0.0009308
56,242.919,1.14585,1.0161,1.25379,0.57406,0.73178,0.70011,0.41419,1.27253,1.36455,1.40932,0.000911,0.000911,0.000911
57,246.69,1.09468,0.94335,1.23927,0.77811,0.51429,0.62435,0.40122,1.30921,1.33985,1.44886,0.0008912,0.0008912,0.0008912
58,250.501,1.12561,1.02852,1.29182,0.82573,0.54158,0.72661,0.45044,1.31859,1.28701,1.44619,0.0008714,0.0008714,0.0008714
59,255.429,1.12634,0.96966,1.22659,0.54825,0.74286,0.7078,0.46446,1.22314,1.23421,1.46994,0.0008516,0.0008516,0.0008516
60,259.181,1.12621,0.991,1.29723,0.56846,0.75286,0.67488,0.4435,1.33909,1.31034,1.54127,0.0008318,0.0008318,0.0008318
61,263.142,1.11129,0.97723,1.24741,0.76141,0.71429,0.72556,0.48856,1.21437,1.29703,1.43811,0.000812,0.000812,0.000812
62,267.704,1.13798,0.98358,1.25303,0.85866,0.69451,0.78289,0.5359,1.20849,1.37687,1.48035,0.0007922,0.0007922,0.0007922
63,272.011,1.03521,0.91843,1.19107,0.76977,0.71429,0.74956,0.46346,1.28243,1.40119,1.48216,0.0007724,0.0007724,0.0007724
64,275.89,1.03094,0.87521,1.17877,0.707,0.68571,0.73033,0.47854,1.23554,1.34922,1.39138,0.0007526,0.0007526,0.0007526
65,279.836,1.13274,0.9168,1.25319,0.80511,0.70835,0.75857,0.51325,1.1752,1.28607,1.34943,0.0007328,0.0007328,0.0007328
66,284.708,1.11378,0.93707,1.22643,0.73999,0.65714,0.77038,0.51949,1.23475,1.25872,1.37895,0.000713,0.000713,0.000713
67,288.507,1.04808,0.825,1.18758,0.8628,0.68571,0.79551,0.50998,1.25067,1.21286,1.40363,0.0006932,0.0006932,0.0006932
68,292.46,1.08509,0.87026,1.23166,0.76764,0.75531,0.82059,0.54979,1.27023,1.16381,1.40899,0.0006734,0.0006734,0.0006734
69,297.149,1.0702,0.91058,1.22147,0.8132,0.77143,0.8161,0.5602,1.16643,1.08168,1.36288,0.0006536,0.0006536,0.0006536
